Truth,MOS,MOS_Var,n_votes,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
3.94,4.1,0.5444444444444444,10,4,3,5,4,5,4,4,5,3,4
2.03,1.7,0.4555555555555555,10,2,2,1,2,1,1,2,1,2,3
3.97,4.0,0.6666666666666666,10,4,3,5,4,3,4,3,5,4,5
1.38,1.4,0.48888888888888904,10,1,1,1,1,2,3,2,1,1,1
2.57,2.5,1.3888888888888888,10,2,1,3,2,4,1,2,4,2,4
3.22,3.7,0.4555555555555555,10,5,3,4,4,4,4,3,3,4,3
4.5200000000000005,4.8,0.17777777777777776,10,5,5,5,5,5,4,5,5,4,5
3.01,3.5,0.9444444444444444,10,4,3,4,2,2,3,4,5,4,4
4.79,4.8,0.17777777777777776,10,5,5,5,5,5,4,5,5,4,5
2.95,3.1,1.2111111111111112,10,4,5,3,2,4,2,2,4,3,2
2.64,2.4,1.6000000000000003,10,3,1,3,2,2,3,3,1,1,5
2.69,3.0,0.6666666666666666,10,4,4,3,2,3,4,3,2,2,3
4.08,3.6,0.7111111111111112,10,4,4,5,3,4,2,3,4,4,3
2.02,2.2,0.8444444444444444,10,1,1,3,3,1,3,2,3,3,2
2.34,1.8,1.288888888888889,10,1,1,3,1,3,1,2,1,4,1
1.17,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
2.2,2.2,1.7333333333333334,10,1,4,1,4,4,2,2,2,1,1
2.05,2.6,1.3777777777777775,10,4,2,3,4,1,1,4,2,3,2
1.86,1.8,0.6222222222222222,10,3,2,1,3,1,1,2,2,1,2
1.02,1.0,0.0,10,1,1,1,1,1,1,1,1,1,1
2.08,2.3,1.1222222222222222,10,2,4,4,3,2,2,1,2,1,2
2.83,2.5,1.3888888888888888,10,2,2,1,3,1,4,4,2,4,2
1.31,1.1,0.09999999999999999,10,1,1,1,1,1,2,1,1,1,1
1.78,1.9,0.7666666666666665,10,2,1,1,3,1,1,2,3,3,2
3.94,4.1,1.211111111111111,10,3,5,5,2,5,3,5,5,4,4
4.779999999999999,4.7,0.23333333333333334,10,5,4,5,5,5,4,5,5,4,5
1.95,2.1,0.3222222222222222,10,2,2,2,2,2,2,3,3,2,1
1.61,1.2,0.1777777777777778,10,1,1,1,1,2,1,2,1,1,1
1.31,1.4,0.2666666666666667,10,2,1,1,2,1,1,1,2,2,1
2.2,1.8,0.6222222222222222,10,1,1,1,1,3,3,2,2,2,2
4.36,4.5,0.2777777777777778,10,4,5,4,5,4,5,4,5,4,5
4.93,5.0,0.0,10,5,5,5,5,5,5,5,5,5,5
1.87,1.9,1.655555555555556,10,1,1,2,2,3,5,2,1,1,1
3.1100000000000003,3.2,1.2888888888888892,10,5,1,4,3,3,4,3,2,4,3
2.35,1.6,0.2666666666666667,10,2,2,2,1,1,2,2,2,1,1
3.05,3.2,0.17777777777777773,10,4,3,3,3,3,3,3,3,3,4
3.17,3.6,0.48888888888888904,10,3,4,3,3,5,4,4,3,3,4
2.91,2.7,0.4555555555555555,10,2,3,3,3,3,3,2,2,4,2
2.75,3.1,1.8777777777777775,10,4,3,4,3,1,4,1,2,5,4
